user_id,total_watch_time,watch_count,search_count,avg_search_time,search_click_rate,recommend_count,risk_score,active_hour_score,intervention_score
user_00001,184.77,11,1.0,27.5,1.0,3.0,0.42863973390906834,0.8,0.3429117871272547
user_00002,4640.94,213,3.0,18.099999999999998,0.0,0.0,0.15231097157858461,0.8,0.12184877726286769
user_00003,1893.99,90,0.0,0.0,0.0,7.0,0.2306911334375344,0.8,0.18455290675002753
user_00004,109397.52,5224,2.0,26.549999999999997,0.0,4.0,0.2830197576564227,0.8,0.22641580612513815
user_00005,18825.46,901,2.0,37.7,1.0,1.0,0.5235458555883895,0.8,0.41883668447071165
user_00006,9300.36,462,1.0,17.4,0.0,9.0,0.1660172009291582,0.8,0.13281376074332657
user_00007,702.33,38,2.0,10.65,0.0,2.0,0.35883272030909646,0.8,0.2870661762472772
user_00008,1756.93,95,2.0,7.0,0.5,3.0,0.20907894507734753,0.8,0.16726315606187803
user_00009,23.96,1,2.0,39.1,0.5,5.0,0.9499854585252742,0.8,0.7599883668202194
user_00010,174.01,10,3.0,15.699999999999998,0.0,5.0,0.44908258758348163,0.8,0.35926607006678535
user_00011,271.48,14,0.0,0.0,0.0,6.0,0.3457206813128683,0.8,0.27657654505029466
user_00012,279.82,17,5.0,21.12,1.0,4.0,0.33188985388476444,0.8,0.26551188310781154
user_00013,212.09,11,5.0,25.56,0.4,1.0,0.41109508549898655,0.8,0.32887606839918926
user_00014,259.09000000000003,11,7.0,29.900000000000002,0.2857142857142857,4.0,0.4354671719019064,0.8,0.3483737375215252
user_00016,159.79,8,3.0,22.166666666666668,0.3333333333333333,3.0,0.5534608414782881,0.8,0.4427686731826305
user_00017,232.95000000000002,11,1.0,31.9,1.0,3.0,0.40869137485083995,0.8,0.326953099880672
user_00018,233.46,8,2.0,0.6,0.5,1.0,0.6126372478393358,0.8,0.49010979827146867
user_00019,62.63,2,4.0,27.2,0.5,5.0,0.8156359170705716,0.8,0.6525087336564573
user_00020,258.15,11,1.0,42.0,1.0,6.0,0.39140725861578596,0.8,0.3131258068926288
user_00021,144.73,9,2.0,24.75,0.0,2.0,0.5073225595067442,0.8,0.4058580476053954
user_00022,305.88,15,2.0,18.25,0.5,4.0,0.3537819117823952,0.8,0.2830255294259162
user_00023,480.92,18,3.0,8.733333333333333,1.0,7.0,0.28413460255066736,0.8,0.2273076820405339
user_00024,232.17000000000002,10,1.0,16.4,0.0,5.0,0.4163147929517745,0.8,0.3330518343614196
user_00026,162.24,10,5.0,12.42,0.2,4.0,0.44316248756151244,0.8,0.35452999004921
user_00027,316.14,12,1.0,24.7,0.0,1.0,0.3870641522880961,0.8,0.3096513218304769
user_00028,768.03,44,6.0,9.066666666666668,0.0,8.0,0.40249184048082853,0.8,0.32199347238466286
user_00029,243.68,8,4.0,13.8,1.0,7.0,0.5190614861318462,0.8,0.415249188905477
user_00030,228.16,10,1.0,33.4,1.0,5.0,0.407355546276623,0.8,0.32588443702129843
user_00031,119.68,7,1.0,15.5,1.0,16.0,0.4307708223849492,0.8,0.34461665790795937
user_00032,219.11,10,5.0,21.18,0.8,6.0,0.45896920629403226,0.8,0.36717536503522585
user_00033,469.27,14,2.0,31.1,0.5,5.0,0.3214688061445111,0.8,0.2571750449156089
user_00034,434.21000000000004,10,1.0,13.4,0.0,4.0,0.4598495654407156,0.8,0.3678796523525725
user_00035,213.42000000000002,10,2.0,31.700000000000003,0.5,6.0,0.4299743793634969,0.8,0.34397950349079753
user_00036,78.88,5,5.0,12.719999999999999,0.8,4.0,0.7098036044002977,0.8,0.5678428835202382
user_00037,57.52,1,3.0,12.733333333333334,0.6666666666666666,10.0,0.8529778837530424,0.8,0.682382307002434
user_00039,222.95000000000002,11,3.0,26.166666666666668,0.0,12.0,0.400660996169368,0.8,0.3205287969354944
user_00040,541.05,9,1.0,22.8,0.0,6.0,0.4297335994224359,0.8,0.34378687953794873
user_00041,347.63,10,1.0,6.2,0.0,3.0,0.438114754931507,0.8,0.3504918039452056
user_00043,269.7,8,0.0,0.0,0.0,6.0,0.4570037098232683,0.8,0.3656029678586147
user_00044,156.88,8,3.0,15.9,0.0,12.0,0.5039134640689791,0.8,0.40313077125518326
user_00045,45.78,1,5.0,7.32,0.4,4.0,0.9008218044690887,0.8,0.720657443575271
user_00046,186.21,10,2.0,18.2,0.5,6.0,0.4205589404635346,0.8,0.3364471523708277
user_00047,175.53,8,2.0,57.3,0.5,6.0,0.4467090759800072,0.8,0.35736726078400577
user_00048,298.84000000000003,12,4.0,16.15,0.0,14.0,0.506415647075753,0.8,0.40513251766060243
user_00049,121.07,9,3.0,15.033333333333333,0.3333333333333333,6.0,0.5037011657797023,0.8,0.4029609326237618
user_00050,202.67,11,4.0,11.075,0.25,8.0,0.43653053887162785,0.8,0.3492244310973023
user_00054,245.57999999999998,10,1.0,0.0,0.0,3.0,0.46610108434792896,0.8,0.3728808674783432
user_00055,360.57,14,2.0,22.9,0.0,6.0,0.3439282993451079,0.8,0.2751426394760863
user_00057,23.21,2,1.0,13.6,0.0,6.0,0.9080758770394882,0.8,0.7264607016315906
user_00058,114.71000000000001,8,4.0,21.6,0.75,2.0,0.5755561742120688,0.8,0.4604449393696551
user_00059,227.64000000000001,12,1.0,22.8,1.0,2.0,0.4024754795306141,0.8,0.3219803836244913
user_00060,118.96000000000001,9,5.0,31.620000000000005,0.4,6.0,0.5009086126233091,0.8,0.4007268900986473
user_00061,150.56,9,2.0,31.75,1.0,6.0,0.49323489235458984,0.8,0.39458791388367187
user_00062,355.74,16,4.0,22.85,0.75,4.0,0.32699774906751694,0.8,0.26159819925401356
user_00063,170.89,6,5.0,22.82,0.6,2.0,0.670254731039116,0.8,0.5362037848312928
user_00064,386.0,16,4.0,6.425000000000001,0.5,4.0,0.3116869453970596,0.8,0.24934955631764769
user_00065,291.15,9,2.0,37.849999999999994,1.0,6.0,0.47026125438003824,0.8,0.37620900350403064
user_00066,252.24,12,6.0,9.450000000000001,0.8333333333333334,10.0,0.4344396480014976,0.8,0.3475517184011981
user_00068,341.25,11,5.0,23.220000000000002,0.4,4.0,0.42827941676628306,0.8,0.3426235334130265
user_00070,371.91,16,0.0,0.0,0.0,4.0,0.3890956380434851,0.8,0.3112765104347881
user_00073,289.49,9,3.0,24.73333333333333,0.6666666666666666,6.0,0.4684340676094773,0.8,0.37474725408758186
user_00074,324.96,15,3.0,13.033333333333333,0.0,5.0,0.3479535833092139,0.8,0.27836286664737114
user_00075,99.29,5,1.0,12.2,1.0,6.0,0.5450839863819846,0.8,0.4360671891055877
user_00076,247.47,11,2.0,20.5,0.5,5.0,0.4176806822235069,0.8,0.33414454577880554
user_00078,109.34,6,1.0,31.6,1.0,6.0,0.602236338314087,0.8,0.4817890706512696
user_00079,340.67,13,1.0,29.4,1.0,2.0,0.34686287749600647,0.8,0.2774903019968052
user_00080,99.6,3,2.0,16.1,0.5,3.0,0.6784246390150925,0.8,0.5427397112120741
user_00081,204.31,10,1.0,10.9,0.0,3.0,0.4420079031634696,0.8,0.35360632253077573
user_00082,231.31,12,1.0,6.2,0.0,13.0,0.37856087659214066,0.8,0.30284870127371255
user_00083,12.71,1,3.0,15.866666666666667,0.3333333333333333,3.0,0.9534332845465169,0.8,0.7627466276372136
user_00084,213.41,9,0.0,0.0,0.0,9.0,0.5063764642663731,0.8,0.4051011714130985
user_00085,153.12,13,3.0,22.933333333333334,0.0,6.0,0.3978086665374092,0.8,0.31824693322992736
user_00086,267.46,12,2.0,8.899999999999999,0.0,4.0,0.41746789076829494,0.8,0.33397431261463595
user_00087,128.43,11,3.0,26.5,0.6666666666666666,3.0,0.4355458955569852,0.8,0.34843671644558816
user_00088,325.55,12,2.0,18.35,0.5,3.0,0.40413558238044955,0.8,0.3233084659043597
user_00089,251.53,10,5.0,14.02,0.4,7.0,0.4492468052611664,0.8,0.35939744420893316
user_00090,252.97,12,2.0,38.85,1.0,5.0,0.40135628682464497,0.8,0.321085029459716
user_00092,298.72999999999996,12,2.0,21.1,0.5,1.0,0.41411635815276815,0.8,0.33129308652221456
user_00094,146.87,11,3.0,20.033333333333335,0.0,9.0,0.4767518982283302,0.8,0.3814015185826642
user_00095,4.25,1,0.0,0.0,0.0,2.0,0.8500292317298986,0.8,0.6800233853839189
user_00096,216.7,13,2.0,14.3,0.0,2.0,0.35879180655158366,0.8,0.28703344524126695
user_00097,257.34999999999997,11,1.0,6.8,0.0,7.0,0.4586643433970519,0.8,0.36693147471764154
user_00099,404.06,16,2.0,23.25,0.5,6.0,0.3229700675166267,0.8,0.2583760540133014
user_00100,446.74,13,0.0,0.0,0.0,4.0,0.3939598686646488,0.8,0.3151678949317191
user_00101,238.66,14,6.0,25.03333333333333,0.6666666666666666,5.0,0.3590241669400345,0.8,0.2872193335520276
user_00102,56.47,2,3.0,43.666666666666664,0.6666666666666666,4.0,0.7853571405178547,0.8,0.6282857124142838
user_00103,186.11,11,1.0,7.3,1.0,8.0,0.437554699910743,0.8,0.3500437599285944
user_00104,274.47,12,1.0,21.3,0.0,8.0,0.4143548761565095,0.8,0.33148390092520763
user_00105,338.5,15,4.0,23.5,0.75,2.0,0.331418266683728,0.8,0.2651346133469824
user_00106,282.8,11,2.0,19.9,0.5,6.0,0.42520072326075026,0.8,0.3401605786086002
user_00108,342.11,15,1.0,2.4,0.0,6.0,0.37077058857536016,0.8,0.29661647086028814
user_00109,309.95,13,3.0,21.833333333333332,0.6666666666666666,2.0,0.37693104814263734,0.8,0.3015448385141099
